Nº,Nombre PDF,Título,Link de descarga
1,paper1.pdf,Introducing the FAIR Principles for research software,https://www.pure.ed.ac.uk/ws/portalfiles/portal/294008791/323694_0_art_file_8905559_r8x3hr.pdf
2,paper2.pdf,"Revisiting the reproducibility of empirical software engineering studies
based on data retrieved from development repositories",https://www.sciencedirect.com/science/article/pii/S0950584923001738
3,paper3.pdf,Open Science in Software Engineering,https://link.springer.com/chapter/10.1007/978-3-030-32489-6_17
4,paper4.pdf,"Citations for Software: Providing Identification, Access
and Recognition for Research Software",https://www.researchgate.net/publication/311749761_Citations_for_Software_Providing_Identification_Access_and_Recognition_for_Research_Software
5,paper5.pdf,"Opening open science to all:  
Demystifying reproducibility and transparency practices in linguistic research",https://scispace.com/pdf/opening-open-science-to-all-demystifying-reproducibility-and-1rkeiyds6q.pdf
6,paper6.pdf,AI Copilots for Reproducibility in Science: A Case Study,https://arxiv.org/pdf/2506.20130
7,paper7.pdf,"Research Software Science: Expanding the Impact of Research
Software Engineering ",https://digitalcommons.csbsju.edu/cgi/viewcontent.cgi?article=1035&context=csci_pubs
8,paper8.pdf,"Open science interventions
to improve reproducibility
and replicability of research:
a scoping review",https://dspace.library.uu.nl/bitstream/handle/1874/461106/dudda-et-al-open-science-interventions-to-improve-reproducibility-and-replicability-of-research-a-scoping-review.pdf?sequence=1
9,paper9.pdf,Research Software Engineering in 2030,https://www.researchgate.net/publication/373142054_Research_Software_Engineering_in_2030
10,paper10.pdf,"Software engineering, research software and requirements engineering",https://fb-swt.gi.de/fileadmin/FB/SWT/Softwaretechnik-Trends/Verzeichnis/Band_44_Heft_1/Softwaretechnik_Trends___Research_Software_Requirements_Engineering_margins.pdf
